raw_sentence,tag,cleaned_sentence
"this is no "" waterboy ! "" 
",negative,this be no waterboy
"its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered . 
",negative,its generic villain lack any intrigue other than their funny accent and the action scene be poorly deliver
"dripping with cliche and bypassing no opportunity to trivialize the material . 
",negative,drip with cliche and bypass no opportunity to trivialize the material
"hard-core slasher aficionados will find things to like . . . but overall the halloween series has lost its edge . 
",negative,hard core slasher aficionado will find thing to like but overall the halloween series have lose its edge
"stiff and schmaltzy and clumsily directed . 
",negative,stiff and schmaltzy and clumsily direct
"the story the movie tells is of brian de palma's addiction to the junk-calorie suspense tropes that have all but ruined his career . 
",negative,the story the movie tell be of brian de palma  addiction to the junk calorie suspense trope that have all but ruin his career
"too many improbabilities and rose-colored situations temper what could've been an impacting film . 
",negative,too many improbability and rose color situation temper what could 've be an impact film
"generic slasher-movie nonsense , but it's not without style . 
",negative,generic slasher movie nonsense but it be not without style
"with tiny little jokes and nary an original idea , this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool . 
",negative,with tiny little joke and nary an original idea this sappy ethnic sleeper prove that not only blockbuster pollute the summer movie pool
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations . 
",negative,it stick rigidly to the paradigm rarely permit its character more than two obvious dimension and repeatedly place they in contrived well wear situation
"ever see one of those comedies that just seem like a bad idea from frame one ? 
",negative,ever see one of those comedy that just seem like a bad idea from frame one
"once ice-t sticks his mug in the window of the couple's bmw and begins haranguing the wife in bad stage dialogue , all credibility flies out the window . 
",negative,once ice t stick his mug in the window of the couple  bmw and begin harangue the wife in bad stage dialogue all credibility fly out the window
"the best drug addition movies are usually depressing but rewarding . quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance . 
",negative,the good drug addition movie be usually depressing but rewarding quitting however manage just to be depressing as the lead actor phone in his autobiographical performance
"it would be great to see this turd squashed under a truck , preferably a semi . 
",negative,it would be great to see this turd squash under a truck preferably a semi
"in the end , all you can do is admire the ensemble players and wonder what the point of it is . 
",negative,in the end all you can do be admire the ensemble player and wonder what the point of it be
"for most movies , 84 minutes is short , but this one feels like a life sentence . 
",negative,for most movie 84 minute be short but this one feel like a life sentence
"while glover , the irrepressible eccentric of river's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby's main overall flaw . 
",negative,while glover the irrepressible eccentric of river  edge dead man and back to the future be perfect casting for the role he represent bartleby  main overall flaw
"something has been lost in the translation . . . another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise . 
",negative,something have be lose in the translation another routine hollywood frightfest in which the slack execution italicize the absurdity of the premise
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was . 
",negative,shatner be probably the funny person in the film which give you an idea just how bad it be
"tries so hard to be quirky and funny that the strain is all too evident . 
",negative,try so hard to be quirky and funny that the strain be all too evident
"as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous . 
",negative,as immaculate as stuart little 2 be it could be a lot well if it be well more adventurous
"simply a re-hash of the other seven films . 
",negative,simply a re hash of the other seven film
"with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is . he fails . 
",negative,with jump cut fast editing and lot of pyrotechnic yu clearly hope to camouflage how bad his movie be he fail
"i found myself more appreciative of what the director was trying to do than of what he had actually done . 
",negative,I find myself more appreciative of what the director be try to do than of what he have actually do
"a very depressing movie of many missed opportunities . 
",negative,a very depressing movie of many miss opportunity
"goes on and on to the point of nausea . 
",negative,go on and on to the point of nausea
"by turns numbingly dull-witted and disquietingly creepy . 
",negative,by turn numbingly dull witted and disquietingly creepy
"boy , has this franchise ever run out of gas . 
",negative,boy have this franchise ever run out of gas
"one problem with the movie , directed by joel schumacher , is that it jams too many prefabricated story elements into the running time . 
",negative,one problem with the movie direct by joel schumacher be that it jam too many prefabricated story element into the running time
"the comedy is nonexistent . 
",negative,the comedy be nonexistent
" . . . a bland , pretentious mess . 
",negative,a bland pretentious mess
"it's a pedestrian , flat drama that screams out 'amateur' in almost every frame . 
",negative,it be a pedestrian flat drama that scream out amateur in almost every frame
"a bland animated sequel that hardly seems worth the effort . 
",negative,a bland animated sequel that hardly seem worth the effort
"it's not just the vampires that are damned in queen of the damned -- the viewers will feel they suffer the same fate . 
",negative,it be not just the vampire that be damned in queen of the damned the viewer will feel they suffer the same fate
"if religious films aren't your bailiwick , stay away . otherwise , this could be a passable date film . 
",negative,if religious film be not your bailiwick stay away otherwise this could be a passable date film
"this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience . 
",negative,this be the case of a pregnant premise be waste by a script that take few chance and manage to insult the intelligence of everyone in the audience
"the pace and the visuals are so hyped up that a curious sense of menace informs everything . 
",negative,the pace and the visual be so hyped up that a curious sense of menace inform everything
"stuffy , full of itself , morally ambiguous and nothing to shout about . 
",negative,stuffy full of itself morally ambiguous and nothing to shout about
"it is most of the things costner movies are known for ; it's sanctimonious , self-righteous and so eager to earn our love that you want to slap it . 
",negative,it be most of the thing costner movie be know for it be sanctimonious self righteous and so eager to earn our love that you want to slap it
"don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action . 
",negative,do not let the subtitle fool you the movie only prove that hollywood no long have a monopoly on mindless action
"chai's structure and pacing are disconcertingly slack . 
",negative,chai  structure and pacing be disconcertingly slack
"to be oblivious to the existence of this film would be very sweet indeed . 
",negative,to be oblivious to the existence of this film would be very sweet indeed
"the director , with his fake backdrops and stately pacing , never settles on a consistent tone . 
",negative,the director with his fake backdrop and stately pacing never settle on a consistent tone
"one just waits grimly for the next shock without developing much attachment to the characters . 
",negative,one just wait grimly for the next shock without develop much attachment to the character
"instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust . 
",negative,instead of panoramic sweep kapur give we episodic choppiness undermine the story  emotional thrust
"the director seems to take an unseemly pleasure in [the characters'] misery and at the same time to congratulate himself for having the guts to confront it . 
",negative,the director seem to take an unseemly pleasure in the character misery and at the same time to congratulate himself for have the gut to confront it
"this dubious product of a college-spawned ( colgate u . ) comedy ensemble known as broken lizard plays like a mix of cheech and chong and chips . 
",negative,this dubious product of a college spawn colgate u comedy ensemble know as break lizard play like a mix of cheech and chong and chip
"the movie doesn't think much of its characters , its protagonist , or of us . 
",negative,the movie do not think much of its character its protagonist or of we
"super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early zucker brothers/abrahams films , and the decidedly foul stylings of their post-modern contemporaries , the farrelly brothers . 
",negative,super trooper be an odd amalgam of comedy genre exist somewhere between the often literal riff of early zucker brother abraham film and the decidedly foul styling of their post modern contemporary the farrelly brother
" . . . will always be remembered for the 9-11 terrorist attacks . after seeing the film , i can tell you that there's no other reason why anyone should bother remembering it . 
",negative,will always be remember for the 9 11 terrorist attack after see the film I can tell you that there be no other reason why anyone should bother remember it
"made me feel uneasy , even queasy , because [solondz's] cool compassion is on the border of bemused contempt . 
",negative,make I feel uneasy even queasy because solondz  cool compassion be on the border of bemused contempt
"as a kind of colorful , dramatized pbs program , frida gets the job done . but , for that , why not watch a documentary ? 
",negative,as a kind of colorful dramatize pbs program frida get the job do but for that why not watch a documentary
"with minimal imagination , you could restage the whole thing in your bathtub . 
",negative,with minimal imagination you could restage the whole thing in your bathtub
"nights feels more like a quickie tv special than a feature film . . . it's not even a tv special you'd bother watching past the second commercial break . 
",negative,night feel more like a quickie tv special than a feature film it be not even a tv special you 'd bother watch past the second commercial break
"although . . . visually striking and slickly staged , it's also cold , grey , antiseptic and emotionally desiccated . 
",negative,although visually striking and slickly stage it be also cold grey antiseptic and emotionally desiccated
"you can see where big bad love is trying to go , but it never quite gets there . 
",negative,you can see where big bad love be try to go but it never quite get there
"friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans . 
",negative,friday after next be the kind of film that could only be make by african american because of its broad racial insensitivity towards african american
"it's not as awful as some of the recent hollywood trip tripe . . . but it's far from a groundbreaking endeavor . 
",negative,it be not as awful as some of the recent hollywood trip tripe but it be far from a groundbreaking endeavor
"the only thing "" swept away "" is the one hour and thirty-three minutes spent watching this waste of time . 
",negative,the only thing sweep away be the one hour and thirty three minute spend watch this waste of time
"one-sided documentary offers simplistic explanations to a very complex situation . . . . stylistically , the movie is a disaster . 
",negative,one sided documentary offer simplistic explanation to a very complex situation stylistically the movie be a disaster
"the corpse count ultimately overrides what little we learn along the way about vicarious redemption . 
",negative,the corpse count ultimately override what little we learn along the way about vicarious redemption
"as violent , profane and exploitative as the most offensive action flick you've ever seen . 
",negative,as violent profane and exploitative as the most offensive action flick you 've ever see
"egoyan's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose . 
",negative,egoyan  work often elegantly consider various level of reality and use shift point of view but here he have construct a film so labyrinthine that it defeat his large purpose
"life or something like it has its share of high points , but it misses too many opportunities . 
",negative,life or something like it have its share of high point but it miss too many opportunity
"this is a truly , truly bad movie . 
",negative,this be a truly truly bad movie
"despite bearing the paramount imprint , it's a bargain-basement european pickup . what's hard to understand is why anybody picked it up . wiser souls would have tactfully pretended not to see it and left it lying there
",negative,despite bear the paramount imprint it be a bargain basement european pickup what be hard to understand be why anybody pick it up wise soul would have tactfully pretend not to see it and leave it lie there
"believability wasn't one of the film's virtues . 
",negative,believability be not one of the film  virtue
"sewer rats could watch this movie and be so skeeved out that they'd need a shower . 
",negative,sewer rat could watch this movie and be so skeeved out that they 'd need a shower
"the santa clause 2's plot may sound like it was co-written by mattel executives and lobbyists for the tinsel industry . 
",negative,the santa clause 2  plot may sound like it be co write by mattel executive and lobbyist for the tinsel industry
"his best film remains his shortest , the hole , which makes many of the points that this film does but feels less repetitive . 
",negative,his good film remain his short the hole which make many of the point that this film do but feel less repetitive
"just another disjointed , fairly predictable psychological thriller . 
",negative,just another disjointed fairly predictable psychological thriller
" . . . stumbles over every cheap trick in the book trying to make the outrage come even easier . 
",negative,stumble over every cheap trick in the book try to make the outrage come even easy
"even the hastily and amateurishly drawn animation cannot engage . 
",negative,even the hastily and amateurishly draw animation can not engage
"kung pow is oedekerk's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that . 
",negative,kung pow be oedekerk  realization of his childhood dream to be in a martial art flick and prove that sometimes the dream of youth should remain just that
"busy urban comedy is clearly not zhang's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy . 
",negative,busy urban comedy be clearly not zhang  forte his directorial touch be neither light nor magical enough to bring off this kind of whimsy
"well-meaning but inert . 
",negative,well meaning but inert
"not completely loveable -- but what underdog movie since the bad news bears has been ? -- but certainly hard to hate . 
",negative,not completely loveable but what underdog movie since the bad news bear have be but certainly hard to hate
"a movie that can't get sufficient distance from leroy's delusions to escape their maudlin influence . 
",negative,a movie that ca not get sufficient distance from leroy  delusion to escape their maudlin influence
"it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy . 
",negative,it be young gun meet goodfella in this easily skippable hayseed vs -greaseball mob action comedy
"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman's script stumbles over a late-inning twist that just doesn't make sense . 
",negative,louiso let the movie dawdle in classic disaffected indie film mode and brother hoffman  script stumble over a late inning twist that just do not make sense
"the movie straddles the fence between escapism and social commentary , and on both sides it falls short . 
",negative,the movie straddle the fence between escapism and social commentary and on both side it fall short
"the film is old-fashioned , occasionally charming and as subtle as boldface . 
",negative,the film be old fashioned occasionally charming and as subtle as boldface
"can't get enough of libidinous young city dwellers ? try this obscenely bad dark comedy , so crass that it makes edward burns' sidewalks of new york look like oscar wilde . 
",negative,ca not get enough of libidinous young city dweller try this obscenely bad dark comedy so crass that it make edward burn sidewalk of new york look like oscar wilde
"in the new guy , even the bull gets recycled . 
",negative,in the new guy even the bull gets recycle
" . . . overly melodramatic . . . 
",negative,overly melodramatic
"largely , this is a movie that also does it by the numbers . 
",negative,largely this be a movie that also do it by the number
"on top of a foundering performance , [madonna's] denied her own athleticism by lighting that emphasizes every line and sag . 
",negative,on top of a founder performance madonna  deny her own athleticism by light that emphasize every line and sag
"the result is an 'action film' mired in stasis . 
",negative,the result be an action film mire in stasis
"this is the first full scale wwii flick from hong kong's john woo . he's not good with people . 
",negative,this be the first full scale wwii flick from hong kong  john woo he be not good with people
"patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary . 
",negative,patchy combination of soap opera low tech magic realism and at time ploddingly sociological commentary
"[stevens is] so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits . 
",negative,stevens be so stoked to make an important film about human infidelity and happenstance that he toss a kitchen sink onto a story already overladen with plot conceit
"so boring that even its target audience talked all the way through it . 
",negative,so boring that even its target audience talk all the way through it
"one of the more glaring signs of this movie's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms . spears . 
",negative,one of the more glaring sign of this movie  servitude to its superstar be the way it skirt around any scene that might have require genuine acting from ms spear
"hollywood ending is the most disappointing woody allen movie ever . he has a great cast and a great idea . but the execution is a flop with the exception of about six gags that really work . 
",negative,hollywood ending be the most disappointing woody allen movie ever he have a great cast and a great idea but the execution be a flop with the exception of about six gag that really work
" . . . generically , forgettably pleasant from start to finish . 
",negative,generically forgettably pleasant from start to finish
"it's just hard to believe that a life like this can sound so dull . 
",negative,it be just hard to believe that a life like this can sound so dull
"when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems . 
",negative,when not wallow in its character frustration the movie be busy contrive false sitcom worthy solution to their problem
"an overstylized , purÃ©ed mÃ©lange of sex , psychology , drugs and philosophy . sometimes entertaining , sometimes indulgent -- but never less than pure wankery . 
",negative,an overstylize purÃ © ed mÃ © lange of sex psychology drug and philosophy sometimes entertaining sometimes indulgent but never less than pure wankery
"'lovely and amazing , ' unhappily , is neither . . . excessively strained and contrived . 
",negative,lovely and amazing unhappily be neither excessively strained and contrived
"ringu is a disaster of a story , full of holes and completely lacking in chills . ignore the reputation , and ignore the film . 
",negative,ringu be a disaster of a story full of hole and completely lack in chill ignore the reputation and ignore the film
"this one is a few bits funnier than malle's dud , if only because the cast is so engagingly messing around like slob city reductions of damon runyon crooks . 
",negative,this one be a few bit funny than malle  dud if only because the cast be so engagingly mess around like slob city reduction of damon runyon crook
"'it's painful to watch witherspoon's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama . '
",negative,it be painful to watch witherspoon  talent waste away inside unnecessary film like legally blonde and sweet home abomination I mean alabama
"a plodding teen remake that's so mechanical you can smell the grease on the plot twists . 
",negative,a plod teen remake that be so mechanical you can smell the grease on the plot twist
"trying to figure out the rules of the country bear universe -- when are bears bears and when are they like humans , only hairier -- would tax einstein's brain . 
",negative,try to figure out the rule of the country bear universe when be bear bear and when be they like human only hairy would tax einstein  brain
"even in terms of the low-grade cheese standards on which it operates , it never quite makes the grade as tawdry trash . 
",negative,even in term of the low grade cheese standard on which it operate it never quite make the grade as tawdry trash
"amidst the action , the script carries arnold ( and the viewers ) into the forbidden zone of sympathizing with terrorist motivations by presenting the "" other side of the story . "" 
",negative,amidst the action the script carry arnold and the viewer into the forbid zone of sympathize with terrorist motivation by present the other side of the story
"rife with nutty cliches and far too much dialogue . 
",negative,rife with nutty cliche and far too much dialogue
"it's a 100-year old mystery that is constantly being interrupted by elizabeth hurley in a bathing suit . 
",negative,it be a 100 year old mystery that be constantly be interrupt by elizabeth hurley in a bathing suit
" . . . one big laugh , three or four mild giggles , and a whole lot of not much else . 
",negative,one big laugh three or four mild giggle and a whole lot of not much else
"too intensely focused on the travails of being hal hartley to function as pastiche , no such thing is hartley's least accessible screed yet . 
",negative,too intensely focused on the travail of be hal hartley to function as pastiche no such thing be hartley  least accessible screed yet
"kenneth branagh's energetic sweet-and-sour performance as a curmudgeonly british playwright grounds this overstuffed , erratic dramedy in which he and his improbably forbearing wife contend with craziness and child-rearing in los angeles . 
",negative,kenneth branagh  energetic sweet and sour performance as a curmudgeonly british playwright ground this overstuffed erratic dramedy in which he and his improbably forbearing wife contend with craziness and child rear in los angele
"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , cannot overcome blah characters . 
",negative,director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero catch up in an intricate plot that while cleverly work out can not overcome blah character
"ms . phoenix is completely lacking in charm and charisma , and is unable to project either esther's initial anomie or her eventual awakening . 
",negative,ms phoenix be completely lack in charm and charisma and be unable to project either esther  initial anomie or her eventual awakening
"the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man . 
",negative,the movie fail to portray its literarily talented and notorious subject as anything much more than a dirty old man
"extremely bad . 
",negative,extremely bad
"a clichÃ©d and shallow cautionary tale about the hard-partying lives of gay men . 
",negative,a clichÃ © d and shallow cautionary tale about the hard party life of gay man
"the fetid underbelly of fame has never looked uglier . 
",negative,the fetid underbelly of fame have never look ugly
"a little weak -- and it isn't that funny . 
",negative,a little weak and it be not that funny
"while it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion , lan yu never catches dramatic fire . 
",negative,while it be welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion lan yu never catch dramatic fire
"the script boasts some tart tv-insider humor , but the film has not a trace of humanity or empathy . 
",negative,the script boast some tart tv insider humor but the film have not a trace of humanity or empathy
"despite the pyrotechnics , narc is strictly by the book . 
",negative,despite the pyrotechnic narc be strictly by the book
"in both the writing and cutting , it does not achieve the kind of dramatic unity that transports you . you end up simply admiring this bit or that , this performance or that . 
",negative,in both the writing and cutting it do not achieve the kind of dramatic unity that transport you you end up simply admire this bit or that this performance or that
"cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility . 
",negative,cacoyannis be perhaps too effective in create an atmosphere of dust cake stagnation and labored gentility
"worth seeing once , but its charm quickly fades . 
",negative,worth see once but its charm quickly fade
"the original wasn't a good movie but this remake makes it look like a masterpiece ! 
",negative,the original be not a good movie but this remake make it look like a masterpiece
"one suspects that craven endorses they simply because this movie makes his own look much better by comparison . 
",negative,one suspect that craven endorse they simply because this movie make his own look much well by comparison
"gere gives a good performance in a film that doesn't merit it . 
",negative,gere give a good performance in a film that do not merit it
"your appreciation of it will depend on what experiences you bring to it and what associations you choose to make . 
",negative,your appreciation of it will depend on what experience you bring to it and what association you choose to make
"includes too much obvious padding . 
",negative,include too much obvious padding
"there's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme . 
",negative,there be no palpable chemistry between lopez and male lead ralph fienne plus the script by work girl scribe kevin wade be workmanlike in the extreme
"i'm not sure which half of dragonfly is worse : the part where nothing's happening , or the part where something's happening , but it's stupid . 
",negative,I be not sure which half of dragonfly be bad the part where nothing be happen or the part where something be happen but it be stupid
"don't expect any subtlety from this latest entry in the increasingly threadbare gross-out comedy cycle . 
",negative,do not expect any subtlety from this late entry in the increasingly threadbare gross out comedy cycle
"the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers . 
",negative,the only camouflage carvey should now be consider be a paper bag to wear over his head when he go out into public to avoid be recognize as the man who bilk unsuspecting moviegoer
"shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors . . . 
",negative,shoot like a postcard and overact with all the boozy self indulgence that bring out the bad in otherwise talented actor
"spain's greatest star wattage doesn't overcome the tumult of maudlin tragedy . 
",negative,spain  great star wattage do not overcome the tumult of maudlin tragedy
" . . . a movie that , quite simply , shouldn't have been made . 
",negative,a movie that quite simply should not have be make
"conforms itself with creating a game of 'who's who' . . . where the characters' moves are often more predictable than their consequences . 
",negative,conform itself with create a game of who be who where the character move be often more predictable than their consequence
"looks and feels like a low-budget hybrid of scarface or carlito's way . 
",negative,look and feel like a low budget hybrid of scarface or carlito  way
"the script is a tired one , with few moments of joy rising above the stale material . 
",negative,the script be a tired one with few moment of joy rise above the stale material
"suffers from all the excesses of the genre . 
",negative,suffer from all the excess of the genre
"the verdict : two bodies and hardly a laugh between them . 
",negative,the verdict two body and hardly a laugh between they
"the latest adam sandler assault and possibly the worst film of the year . 
",negative,the late adam sandler assault and possibly the bad film of the year
"downbeat , period-perfect biopic hammers home a heavy-handed moralistic message . 
",negative,downbeat period perfect biopic hammer home a heavy handed moralistic message
"while the film is competent , it's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . 
",negative,while the film be competent it be also uninspired lack the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspire
"they ought to be a whole lot scarier than they are in this tepid genre offering . 
",negative,they ought to be a whole lot scary than they be in this tepid genre offering
"it's harmless , diverting fluff . but it's hard to imagine a more generic effort in the genre . 
",negative,it be harmless divert fluff but it be hard to imagine a more generic effort in the genre
"it's just plain lurid when it isn't downright silly . 
",negative,it be just plain lurid when it be not downright silly
"comedy troupe broken lizard's first movie is very funny but too concerned with giving us a plot . 
",negative,comedy troupe break lizard  first movie be very funny but too concerned with give we a plot
"pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of god in the fifth trek flick . 
",negative,pap invest in undergraduate doubling subtext and ridiculous stab at existentialism remind of the discovery of the wizard of god in the fifth trek flick
"a horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness . 
",negative,a horror movie with seriously dumb character which somewhat dilute the pleasure of watch they stalk by creepy crawly bug thing that live only in the darkness
"it's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt . 
",negative,it be a film with an idea bury somewhere inside its fabric but never clearly see or feel
"'all in all , reign of fire will be a good ( successful ) rental . '
",negative,all in all reign of fire will be a good successful rental
"occasionally funny , sometimes inspiring , often boring . 
",negative,occasionally funny sometimes inspiring often boring
"a movie in which two not very absorbing characters are engaged in a romance you can't wait to see end . 
",negative,a movie in which two not very absorbing character be engage in a romance you ca not wait to see end
"the predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances . 
",negative,the predominantly amateur cast be painful to watch so stilted and unconvincing be the performance
"who are 'they' ? well , they're 'they' . they're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . they exist for hushed lines like "" they're back ! "" , "" they're out there ! "" and "" they're coming ! "" 
",negative,who be they well they be they they be the unnamed easily substitutable force that serve as whatever terror the hero of horror movie try to avoid they exist for hushed line like they be back they be out there and they be come
"elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level . 
",negative,elegantly craft but emotionally cold a puzzle whose intricate construction one can admire but be difficult to connect with on any deep level
"were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls , he might have been tempted to change his landmark poem to , 'do not go gentle into that good theatre . '
",negative,be dylan thomas alive to witness first time director ethan hawke  strained chelsea wall he might have be tempt to change his landmark poem to do not go gentle into that good theatre
"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive . 
",negative,the story have its redundancy and the young actor not very experienced be sometimes inexpressive
"i'm sure the filmmaker would disagree , but , honestly , i don't see the point . it's a visual rorschach test and i must have failed . 
",negative,I be sure the filmmaker would disagree but honestly I do not see the point it be a visual rorschach test and I must have fail
"the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture . 
",negative,the film be really close to porn than a serious critique of what be wrong with this increasingly pervasive aspect of gay culture
"murder by numbers just doesn't add up . 
",negative,murder by number just do not add up
"clare peploe's airless movie adaptation could use a little american pie-like irreverence . 
",negative,clare peploe  airless movie adaptation could use a little american pie like irreverence
"video games are more involving than this mess . 
",negative,video game be more involve than this mess
"clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer . 
",negative,clayburgh and tambor be charming performer neither of they deserve eric schaeffer
"a pale xerox of other , better crime movies . 
",negative,a pale xerox of other well crime movie
" . . . a hokey piece of nonsense that tries too hard to be emotional . 
",negative,a hokey piece of nonsense that try too hard to be emotional
"illiterate , often inert sci-fi action thriller . 
",negative,illiterate often inert sci fi action thriller
"a perfect example of rancid , well-intentioned , but shamelessly manipulative movie making . 
",negative,a perfect example of rancid well intentione but shamelessly manipulative movie making
"the adventure doesn't contain half the excitement of balto , or quarter the fun of toy story 2 . 
",negative,the adventure do not contain half the excitement of balto or quarter the fun of toy story 2
"essentially a collection of bits -- and they're all naughty . 
",negative,essentially a collection of bit and they be all naughty
"a mess . the screenplay does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen . 
",negative,a mess the screenplay do too much meander norton have to recite bland police procedural detail fienne wander around in an attempt to seem weird and distance hopkin look like a drag queen
"the screenplay by james eric , james horton and director peter o'fallon . . . is so pat it makes your teeth hurt . 
",negative,the screenplay by jame eric james horton and director peter o'fallon be so pat it make your tooth hurt
"before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg's adaptation of mary gaitskill's harrowing short story . . . is a brilliantly played , deeply unsettling experience . 
",negative,before it take a sudden turn and devolve into a bizarre sort of romantic comedy steven shainberg  adaptation of mary gaitskill  harrowing short story be a brilliantly play deeply unsettling experience
"solaris is rigid and evasive in ways that soderbergh's best films , "" erin brockovich , "" "" out of sight "" and "" ocean's eleven , "" never were . 
",negative,solaris be rigid and evasive in way that soderbergh  good film erin brockovich out of sight and ocean  eleven never be
"seems like something american and european gay movies were doing 20 years ago . 
",negative,seem like something american and european gay movie be do 20 year ago
"in the process of trimming the movie to an expeditious 84 minutes , director roger kumble seems to have dumped a whole lot of plot in favor of . . . outrageous gags . 
",negative,in the process of trim the movie to an expeditious 84 minute director roger kumble seem to have dump a whole lot of plot in favor of outrageous gag
"you can see the would-be surprises coming a mile away , and the execution of these twists is delivered with a hammer . thumbs down . 
",negative,you can see the would be surprise come a mile away and the execution of these twist be deliver with a hammer thumb down
"the characters are paper thin and the plot is so cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects . 
",negative,the character be paper thin and the plot be so cliched and contrived that it make your least favorite james bond movie seem as cleverly plot as the usual suspect
" . . . del toro maintains a dark mood that makes the film seem like something to endure instead of enjoy . 
",negative,del toro maintain a dark mood that make the film seem like something to endure instead of enjoy
"the movie eventually snaps under the strain of its plot contrivances and its need to reassure . 
",negative,the movie eventually snap under the strain of its plot contrivance and its need to reassure
"the real question this movie poses is not 'who ? ' but 'why ? '
",negative,the real question this movie pose be not who but why
"now here's a sadistic bike flick that would have made vittorio de sica proud . 
",negative,now here be a sadistic bike flick that would have make vittorio de sica proud
"a movie that's about as overbearing and over-the-top as the family it depicts . 
",negative,a movie that be about as overbearing and over the top as the family it depict
"a movie in which laughter and self-exploitation merge into jolly soft-porn 'empowerment . '
",negative,a movie in which laughter and self exploitation merge into jolly soft porn empowerment
"occasionally interesting but essentially unpersuasive , a footnote to a still evolving story . 
",negative,occasionally interesting but essentially unpersuasive a footnote to a still evolve story
"if we're to slap protagonist genevieve leplouff because she's french , do we have that same option to slap her creators because they're clueless and inept ? 
",negative,if we be to slap protagonist genevieve leplouff because she be french do we have that same option to slap her creator because they be clueless and inept
"moretti plays giovanni , a psychiatrist who predictably finds it difficult to sustain interest in his profession after the family tragedy . too predictably , in fact . 
",negative,moretti play giovanni a psychiatrist who predictably find it difficult to sustain interest in his profession after the family tragedy too predictably in fact
"alternative medicine obviously has its merits . . . but ayurveda does the field no favors . 
",negative,alternative medicine obviously have its merit but ayurveda do the field no favor
"this thing works on no level whatsoever for me . 
",negative,this thing work on no level whatsoever for I
"it follows the basic plot trajectory of nearly every schwarzenegger film : someone crosses arnie . arnie blows things up . 
",negative,it follow the basic plot trajectory of nearly every schwarzenegger film someone cross arnie arnie blow thing up
